ID	Product
cds-pgaptmp_001555	TetR/AcrR family transcriptional regulator
cds-pgaptmp_004347	allophanate hydrolase subunit 1
cds-pgaptmp_002172	cutinase family protein
cds-pgaptmp_003732	LLM class flavin-dependent oxidoreductase
cds-pgaptmp_001719	acyl-CoA dehydrogenase
cds-pgaptmp_003495	nucleotidyltransferase
cds-pgaptmp_000257	arabinosyltransferase domain-containing protein
cds-pgaptmp_003731	ABC transporter substrate-binding protein
cds-pgaptmp_001936	putative lipid II flippase FtsW
cds-pgaptmp_001984	MCE family protein
cds-pgaptmp_003409	hemerythrin domain-containing protein
cds-pgaptmp_002591	indole-3-glycerol phosphate synthase TrpC
cds-pgaptmp_003666	acyl-CoA dehydrogenase
cds-pgaptmp_000243	alpha/beta hydrolase family protein
cds-pgaptmp_000809	MCE family protein
cds-pgaptmp_002375	enoyl-CoA hydratase-related protein
cds-pgaptmp_004304	nuclear transport factor 2 family protein
cds-pgaptmp_004475	restriction endonuclease subunit S
cds-pgaptmp_002713	VWA domain-containing protein
cds-pgaptmp_000808	MCE family protein
cds-pgaptmp_000345	non-homologous end-joining DNA ligase
cds-pgaptmp_004207	NAD(P)/FAD-dependent oxidoreductase
cds-pgaptmp_001988	ABC transporter permease
cds-pgaptmp_000169	LLM class F420-dependent oxidoreductase
cds-pgaptmp_003673	acyl-CoA carboxylase subunit beta
cds-pgaptmp_004014	NAD(P)/FAD-dependent oxidoreductase
cds-pgaptmp_001386	cyclic nucleotide-degrading phosphodiesterase
cds-pgaptmp_001142	3-hydroxyacyl-CoA dehydrogenase
cds-pgaptmp_000266	ABC transporter ATP-binding protein
cds-pgaptmp_004582	TetR/AcrR family transcriptional regulator
cds-pgaptmp_004075	hydroxymethylbilane synthase
cds-pgaptmp_004013	YajQ family cyclic di-GMP-binding protein
cds-pgaptmp_001985	MlaD family protein
cds-pgaptmp_003270	3-isopropylmalate dehydratase small subunit
cds-pgaptmp_000017	peptidylprolyl isomerase
cds-pgaptmp_000024	D%2CD-transpeptidase PbpA
cds-pgaptmp_004630	maltokinase
cds-pgaptmp_001237	malate dehydrogenase
cds-pgaptmp_000805	hypothetical protein
cds-pgaptmp_002971	IS256-like element IS1601 family transposase
cds-pgaptmp_003794	GMC family oxidoreductase
cds-pgaptmp_004488	hypothetical protein
cds-pgaptmp_003283	ketol-acid reductoisomerase
cds-pgaptmp_001987	MCE family protein
cds-pgaptmp_003674	acyl-CoA carboxylase subunit epsilon
cds-pgaptmp_002201	thiol peroxidase
cds-pgaptmp_004359	succinate dehydrogenase/fumarate reductase iron-sulfur subunit
cds-pgaptmp_001077	hypothetical protein
cds-pgaptmp_003308	electron transfer flavoprotein subunit alpha/FixB family protein
cds-pgaptmp_001078	class II fumarate hydratase
cds-pgaptmp_000025	FtsW/RodA/SpoVE family cell cycle protein
cds-pgaptmp_004737	hypothetical protein
cds-pgaptmp_001341	threonine synthase
cds-pgaptmp_000316	cellulase family glycosylhydrolase
cds-pgaptmp_004358	fumarate reductase/succinate dehydrogenase flavoprotein subunit
cds-pgaptmp_001986	MlaD family protein
cds-pgaptmp_001980	mannan-binding family protein
cds-pgaptmp_002549	EAL domain-containing protein
cds-pgaptmp_000797	hypothetical protein
cds-pgaptmp_001570	MoxR family ATPase
cds-pgaptmp_004427	FAD-dependent oxidoreductase
cds-pgaptmp_000666	hypothetical protein
cds-pgaptmp_001097	nitroreductase family deazaflavin-dependent oxidoreductase
cds-pgaptmp_004160	LytR C-terminal domain-containing protein
cds-pgaptmp_002023	F420-dependent biliverdin reductase
cds-pgaptmp_003499	heme-binding protein
cds-pgaptmp_000235	LGFP repeat-containing protein
cds-pgaptmp_004604	cytochrome P450
cds-pgaptmp_003479	SDR family NAD(P)-dependent oxidoreductase
cds-pgaptmp_003052	acyl-CoA dehydrogenase family protein
cds-pgaptmp_003655	LCP family protein
cds-pgaptmp_000199	LLM class F420-dependent oxidoreductase
cds-pgaptmp_003937	acyl-CoA dehydrogenase family protein
cds-pgaptmp_000671	M18 family aminopeptidase
cds-pgaptmp_003730	dibenzothiophene monooxygenase
cds-pgaptmp_000484	LLM class flavin-dependent oxidoreductase
cds-pgaptmp_004348	5-oxoprolinase/urea amidolyase family protein
cds-pgaptmp_001304	hypothetical protein
cds-pgaptmp_000205	ribonuclease E activity regulator RraA
cds-pgaptmp_003226	cell division protein SepIVA
cds-pgaptmp_003164	penicillin-binding transpeptidase domain-containing protein
cds-pgaptmp_002333	PPE family protein
cds-pgaptmp_004321	type VII secretion protein EccC
cds-pgaptmp_000565	MaoC family dehydratase
cds-pgaptmp_000236	PirG
cds-pgaptmp_000838	acetyl-CoA C-acetyltransferase
cds-pgaptmp_003705	cutinase family protein
cds-pgaptmp_001479	type I polyketide synthase
cds-pgaptmp_004016	SulP family inorganic anion transporter
cds-pgaptmp_003635	adenosylhomocysteinase
cds-pgaptmp_001074	PhoH family protein
cds-pgaptmp_000346	hypothetical protein
